YEAR;WEEK;START_DATE;MID_DATE;END_DATE;AGE;N_DEATH;FLAG
2010;36;2010-09-05;2010-09-08;2010-09-11;90+;167;d
2010;36;2010-09-05;2010-09-08;2010-09-11;80-89;340;d
2010;36;2010-09-05;2010-09-08;2010-09-11;70-79;232;d
2010;36;2010-09-05;2010-09-08;2010-09-11;60-69;160;d
2010;36;2010-09-05;2010-09-08;2010-09-11;50-59;83;d
2010;36;2010-09-05;2010-09-08;2010-09-11;0-49;72;d
2010;37;2010-09-12;2010-09-15;2010-09-18;Total;1050;d
2010;37;2010-09-12;2010-09-15;2010-09-18;90+;157;d
2010;37;2010-09-12;2010-09-15;2010-09-18;80-89;310;d
2010;37;2010-09-12;2010-09-15;2010-09-18;70-79;235;d
2010;37;2010-09-12;2010-09-15;2010-09-18;60-69;183;d
2010;37;2010-09-12;2010-09-15;2010-09-18;50-59;82;d
2010;37;2010-09-12;2010-09-15;2010-09-18;0-49;83;d
2010;38;2010-09-19;2010-09-22;2010-09-25;Total;1092;d
2010;38;2010-09-19;2010-09-22;2010-09-25;90+;164;d
2010;38;2010-09-19;2010-09-22;2010-09-25;80-89;349;d
2010;38;2010-09-19;2010-09-22;2010-09-25;70-79;251;d
2010;38;2010-09-19;2010-09-22;2010-09-25;60-69;185;d
2010;38;2010-09-19;2010-09-22;2010-09-25;50-59;80;d
2010;38;2010-09-19;2010-09-22;2010-09-25;0-49;63;d
2010;39;2010-09-26;2010-09-29;2010-10-02;Total;1074;d
2010;39;2010-09-26;2010-09-29;2010-10-02;90+;146;d
2010;39;2010-09-26;2010-09-29;2010-10-02;80-89;371;d
2010;39;2010-09-26;2010-09-29;2010-10-02;70-79;238;d
2010;39;2010-09-26;2010-09-29;2010-10-02;60-69;161;d
2010;39;2010-09-26;2010-09-29;2010-10-02;50-59;82;d
2010;39;2010-09-26;2010-09-29;2010-10-02;0-49;76;d
2010;40;2010-10-03;2010-10-06;2010-10-09;Total;1123;d
2010;40;2010-10-03;2010-10-06;2010-10-09;90+;201;d
2010;40;2010-10-03;2010-10-06;2010-10-09;80-89;358;d
2010;40;2010-10-03;2010-10-06;2010-10-09;70-79;219;d
2010;40;2010-10-03;2010-10-06;2010-10-09;60-69;165;d
2010;40;2010-10-03;2010-10-06;2010-10-09;50-59;110;d
2010;40;2010-10-03;2010-10-06;2010-10-09;0-49;70;d
2010;41;2010-10-10;2010-10-13;2010-10-16;Total;1217;d
2010;41;2010-10-10;2010-10-13;2010-10-16;90+;188;d
2010;41;2010-10-10;2010-10-13;2010-10-16;80-89;390;d
2010;41;2010-10-10;2010-10-13;2010-10-16;70-79;271;d
2010;41;2010-10-10;2010-10-13;2010-10-16;60-69;186;d
2010;41;2010-10-10;2010-10-13;2010-10-16;50-59;108;d
2010;41;2010-10-10;2010-10-13;2010-10-16;0-49;74;d
2010;42;2010-10-17;2010-10-20;2010-10-23;Total;1149;d
2010;42;2010-10-17;2010-10-20;2010-10-23;90+;187;d
2010;42;2010-10-17;2010-10-20;2010-10-23;80-89;353;d
2010;42;2010-10-17;2010-10-20;2010-10-23;70-79;276;d
2010;42;2010-10-17;2010-10-20;2010-10-23;60-69;175;d
2010;42;2010-10-17;2010-10-20;2010-10-23;50-59;84;d
2010;42;2010-10-17;2010-10-20;2010-10-23;0-49;74;d
2010;43;2010-10-24;2010-10-27;2010-10-30;Total;1201;d
2010;43;2010-10-24;2010-10-27;2010-10-30;90+;196;d
2010;43;2010-10-24;2010-10-27;2010-10-30;80-89;414;d
2010;43;2010-10-24;2010-10-27;2010-10-30;70-79;274;d
2010;43;2010-10-24;2010-10-27;2010-10-30;60-69;162;d
2010;43;2010-10-24;2010-10-27;2010-10-30;50-59;100;d
2010;43;2010-10-24;2010-10-27;2010-10-30;0-49;55;d
2010;44;2010-10-31;2010-11-03;2010-11-06;Total;1141;d
2010;44;2010-10-31;2010-11-03;2010-11-06;90+;180;d
2010;44;2010-10-31;2010-11-03;2010-11-06;80-89;367;d
2010;44;2010-10-31;2010-11-03;2010-11-06;70-79;237;d
2010;44;2010-10-31;2010-11-03;2010-11-06;60-69;171;d
2010;44;2010-10-31;2010-11-03;2010-11-06;50-59;96;d
2010;44;2010-10-31;2010-11-03;2010-11-06;0-49;90;d
2010;45;2010-11-07;2010-11-10;2010-11-13;Total;1093;d
2010;45;2010-11-07;2010-11-10;2010-11-13;90+;169;d
2010;45;2010-11-07;2010-11-10;2010-11-13;80-89;391;d
2010;45;2010-11-07;2010-11-10;2010-11-13;70-79;220;d
2010;45;2010-11-07;2010-11-10;2010-11-13;60-69;163;d
2010;45;2010-11-07;2010-11-10;2010-11-13;50-59;86;d
2010;45;2010-11-07;2010-11-10;2010-11-13;0-49;64;d
2010;46;2010-11-14;2010-11-17;2010-11-20;Total;1113;d
2010;46;2010-11-14;2010-11-17;2010-11-20;90+;193;d
2010;46;2010-11-14;2010-11-17;2010-11-20;80-89;350;d
2010;46;2010-11-14;2010-11-17;2010-11-20;70-79;245;d
2010;46;2010-11-14;2010-11-17;2010-11-20;60-69;161;d
2010;46;2010-11-14;2010-11-17;2010-11-20;50-59;98;d
2010;46;2010-11-14;2010-11-17;2010-11-20;0-49;66;d
2010;47;2010-11-21;2010-11-24;2010-11-27;Total;1107;d
2010;47;2010-11-21;2010-11-24;2010-11-27;90+;176;d
2010;47;2010-11-21;2010-11-24;2010-11-27;80-89;382;d
2010;47;2010-11-21;2010-11-24;2010-11-27;70-79;245;d
2010;47;2010-11-21;2010-11-24;2010-11-27;60-69;158;d
2010;47;2010-11-21;2010-11-24;2010-11-27;50-59;77;d
2010;47;2010-11-21;2010-11-24;2010-11-27;0-49;69;d
2010;48;2010-11-28;2010-12-01;2010-12-04;Total;1206;d
2010;48;2010-11-28;2010-12-01;2010-12-04;90+;207;d
2010;48;2010-11-28;2010-12-01;2010-12-04;80-89;382;d
2010;48;2010-11-28;2010-12-01;2010-12-04;70-79;277;d
2010;48;2010-11-28;2010-12-01;2010-12-04;60-69;175;d
2010;48;2010-11-28;2010-12-01;2010-12-04;50-59;91;d
2010;48;2010-11-28;2010-12-01;2010-12-04;0-49;74;d
2010;49;2010-12-05;2010-12-08;2010-12-11;Total;1133;d
2010;49;2010-12-05;2010-12-08;2010-12-11;90+;200;d
2010;49;2010-12-05;2010-12-08;2010-12-11;80-89;348;d
2010;49;2010-12-05;2010-12-08;2010-12-11;70-79;267;d
2010;49;2010-12-05;2010-12-08;2010-12-11;60-69;163;d
2010;49;2010-12-05;2010-12-08;2010-12-11;50-59;95;d
2010;49;2010-12-05;2010-12-08;2010-12-11;0-49;60;d
2010;50;2010-12-12;2010-12-15;2010-12-18;Total;1174;d
2010;50;2010-12-12;2010-12-15;2010-12-18;90+;185;d
2010;50;2010-12-12;2010-12-15;2010-12-18;80-89;375;d
2010;50;2010-12-12;2010-12-15;2010-12-18;70-79;278;d
2010;50;2010-12-12;2010-12-15;2010-12-18;60-69;169;d
2010;50;2010-12-12;2010-12-15;2010-12-18;50-59;104;d
2010;50;2010-12-12;2010-12-15;2010-12-18;0-49;63;d
2010;51;2010-12-19;2010-12-22;2010-12-25;Total;1218;d
2010;51;2010-12-19;2010-12-22;2010-12-25;90+;227;d
2010;51;2010-12-19;2010-12-22;2010-12-25;80-89;418;d
2010;51;2010-12-19;2010-12-22;2010-12-25;70-79;256;d
2010;51;2010-12-19;2010-12-22;2010-12-25;60-69;146;d
2010;51;2010-12-19;2010-12-22;2010-12-25;50-59;98;d
