YEAR;WEEK;START_DATE;MID_DATE;END_DATE;SEX;N_DEATH;FLAG
2017;36;2017-09-03;2017-09-06;2017-09-09;F;580;d
2017;37;2017-09-10;2017-09-13;2017-09-16;Total;1151;d
2017;37;2017-09-10;2017-09-13;2017-09-16;H;582;d
2017;37;2017-09-10;2017-09-13;2017-09-16;F;569;d
2017;38;2017-09-17;2017-09-20;2017-09-23;Total;1135;d
2017;38;2017-09-17;2017-09-20;2017-09-23;H;577;d
2017;38;2017-09-17;2017-09-20;2017-09-23;F;558;d
2017;39;2017-09-24;2017-09-27;2017-09-30;Total;1230;d
2017;39;2017-09-24;2017-09-27;2017-09-30;H;588;d
2017;39;2017-09-24;2017-09-27;2017-09-30;F;642;d
2017;40;2017-10-01;2017-10-04;2017-10-07;Total;1176;d
2017;40;2017-10-01;2017-10-04;2017-10-07;H;619;d
2017;40;2017-10-01;2017-10-04;2017-10-07;F;557;d
2017;41;2017-10-08;2017-10-11;2017-10-14;Total;1231;d
2017;41;2017-10-08;2017-10-11;2017-10-14;H;631;d
2017;41;2017-10-08;2017-10-11;2017-10-14;F;600;d
2017;42;2017-10-15;2017-10-18;2017-10-21;Total;1181;d
2017;42;2017-10-15;2017-10-18;2017-10-21;H;577;d
2017;42;2017-10-15;2017-10-18;2017-10-21;F;604;d
2017;43;2017-10-22;2017-10-25;2017-10-28;Total;1214;d
2017;43;2017-10-22;2017-10-25;2017-10-28;H;631;d
2017;43;2017-10-22;2017-10-25;2017-10-28;F;583;d
2017;44;2017-10-29;2017-11-01;2017-11-04;Total;1258;d
2017;44;2017-10-29;2017-11-01;2017-11-04;H;614;d
2017;44;2017-10-29;2017-11-01;2017-11-04;F;644;d
2017;45;2017-11-05;2017-11-08;2017-11-11;Total;1274;d
2017;45;2017-11-05;2017-11-08;2017-11-11;H;637;d
2017;45;2017-11-05;2017-11-08;2017-11-11;F;637;d
2017;46;2017-11-12;2017-11-15;2017-11-18;Total;1298;d
2017;46;2017-11-12;2017-11-15;2017-11-18;H;621;d
2017;46;2017-11-12;2017-11-15;2017-11-18;F;677;d
2017;47;2017-11-19;2017-11-22;2017-11-25;Total;1276;d
2017;47;2017-11-19;2017-11-22;2017-11-25;H;617;d
2017;47;2017-11-19;2017-11-22;2017-11-25;F;659;d
2017;48;2017-11-26;2017-11-29;2017-12-02;Total;1328;d
2017;48;2017-11-26;2017-11-29;2017-12-02;H;628;d
2017;48;2017-11-26;2017-11-29;2017-12-02;F;700;d
2017;49;2017-12-03;2017-12-06;2017-12-09;Total;1283;d
2017;49;2017-12-03;2017-12-06;2017-12-09;H;654;d
2017;49;2017-12-03;2017-12-06;2017-12-09;F;629;d
2017;50;2017-12-10;2017-12-13;2017-12-16;Total;1337;d
2017;50;2017-12-10;2017-12-13;2017-12-16;H;682;d
2017;50;2017-12-10;2017-12-13;2017-12-16;F;655;d
2017;51;2017-12-17;2017-12-20;2017-12-23;Total;1475;d
2017;51;2017-12-17;2017-12-20;2017-12-23;H;747;d
2017;51;2017-12-17;2017-12-20;2017-12-23;F;728;d
2017;52;2017-12-24;2017-12-27;2017-12-30;Total;1480;d
2017;52;2017-12-24;2017-12-27;2017-12-30;H;757;d
2017;52;2017-12-24;2017-12-27;2017-12-30;F;723;d
2018;1;2017-12-31;2018-01-03;2018-01-06;Total;1606;d
2018;1;2017-12-31;2018-01-03;2018-01-06;H;796;d
2018;1;2017-12-31;2018-01-03;2018-01-06;F;810;d
2018;2;2018-01-07;2018-01-10;2018-01-13;Total;1687;d
2018;2;2018-01-07;2018-01-10;2018-01-13;H;790;d
2018;2;2018-01-07;2018-01-10;2018-01-13;F;897;d
2018;3;2018-01-14;2018-01-17;2018-01-20;Total;1698;d
2018;3;2018-01-14;2018-01-17;2018-01-20;H;815;d
2018;3;2018-01-14;2018-01-17;2018-01-20;F;883;d
2018;4;2018-01-21;2018-01-24;2018-01-27;Total;1618;d
2018;4;2018-01-21;2018-01-24;2018-01-27;H;768;d
2018;4;2018-01-21;2018-01-24;2018-01-27;F;850;d
2018;5;2018-01-28;2018-01-31;2018-02-03;Total;1620;d
2018;5;2018-01-28;2018-01-31;2018-02-03;H;752;d
2018;5;2018-01-28;2018-01-31;2018-02-03;F;868;d
2018;6;2018-02-04;2018-02-07;2018-02-10;Total;1520;d
2018;6;2018-02-04;2018-02-07;2018-02-10;H;762;d
2018;6;2018-02-04;2018-02-07;2018-02-10;F;758;d
2018;7;2018-02-11;2018-02-14;2018-02-17;Total;1526;d
2018;7;2018-02-11;2018-02-14;2018-02-17;H;762;d
2018;7;2018-02-11;2018-02-14;2018-02-17;F;764;d
2018;8;2018-02-18;2018-02-21;2018-02-24;Total;1522;d
2018;8;2018-02-18;2018-02-21;2018-02-24;H;742;d
2018;8;2018-02-18;2018-02-21;2018-02-24;F;780;d
2018;9;2018-02-25;2018-02-28;2018-03-03;Total;1466;d
2018;9;2018-02-25;2018-02-28;2018-03-03;H;708;d
2018;9;2018-02-25;2018-02-28;2018-03-03;F;758;d
2018;10;2018-03-04;2018-03-07;2018-03-10;Total;1420;d
2018;10;2018-03-04;2018-03-07;2018-03-10;H;665;d
2018;10;2018-03-04;2018-03-07;2018-03-10;F;755;d
2018;11;2018-03-11;2018-03-14;2018-03-17;Total;1343;d
2018;11;2018-03-11;2018-03-14;2018-03-17;H;654;d
2018;11;2018-03-11;2018-03-14;2018-03-17;F;689;d
2018;12;2018-03-18;2018-03-21;2018-03-24;Total;1355;d
2018;12;2018-03-18;2018-03-21;2018-03-24;H;606;d
2018;12;2018-03-18;2018-03-21;2018-03-24;F;749;d
2018;13;2018-03-25;2018-03-28;2018-03-31;Total;1349;d
2018;13;2018-03-25;2018-03-28;2018-03-31;H;644;d
2018;13;2018-03-25;2018-03-28;2018-03-31;F;705;d
2018;14;2018-04-01;2018-04-04;2018-04-07;Total;1332;d
2018;14;2018-04-01;2018-04-04;2018-04-07;H;663;d
2018;14;2018-04-01;2018-04-04;2018-04-07;F;669;d
