YEAR;WEEK;START_DATE;MID_DATE;END_DATE;SEX;N_DEATH;FLAG
2011;50;2011-12-11;2011-12-14;2011-12-17;Hommes;581;d
2011;50;2011-12-11;2011-12-14;2011-12-17;Femmes;591;d
2011;51;2011-12-18;2011-12-21;2011-12-24;Total;1194;d
2011;51;2011-12-18;2011-12-21;2011-12-24;Hommes;625;d
2011;51;2011-12-18;2011-12-21;2011-12-24;Femmes;569;d
2011;52;2011-12-25;2011-12-28;2011-12-31;Total;1231;d
2011;52;2011-12-25;2011-12-28;2011-12-31;Hommes;594;d
2011;52;2011-12-25;2011-12-28;2011-12-31;Femmes;637;d
2012;1;2012-01-01;2012-01-04;2012-01-07;Total;1260;d
2012;1;2012-01-01;2012-01-04;2012-01-07;Hommes;608;d
2012;1;2012-01-01;2012-01-04;2012-01-07;Femmes;652;d
2012;2;2012-01-08;2012-01-11;2012-01-14;Total;1287;d
2012;2;2012-01-08;2012-01-11;2012-01-14;Hommes;650;d
2012;2;2012-01-08;2012-01-11;2012-01-14;Femmes;637;d
2012;3;2012-01-15;2012-01-18;2012-01-21;Total;1325;d
2012;3;2012-01-15;2012-01-18;2012-01-21;Hommes;653;d
2012;3;2012-01-15;2012-01-18;2012-01-21;Femmes;672;d
2012;4;2012-01-22;2012-01-25;2012-01-28;Total;1250;d
2012;4;2012-01-22;2012-01-25;2012-01-28;Hommes;612;d
2012;4;2012-01-22;2012-01-25;2012-01-28;Femmes;638;d
2012;5;2012-01-29;2012-02-01;2012-02-04;Total;1210;d
2012;5;2012-01-29;2012-02-01;2012-02-04;Hommes;564;d
2012;5;2012-01-29;2012-02-01;2012-02-04;Femmes;646;d
2012;6;2012-02-05;2012-02-08;2012-02-11;Total;1255;d
2012;6;2012-02-05;2012-02-08;2012-02-11;Hommes;628;d
2012;6;2012-02-05;2012-02-08;2012-02-11;Femmes;627;d
2012;7;2012-02-12;2012-02-15;2012-02-18;Total;1186;d
2012;7;2012-02-12;2012-02-15;2012-02-18;Hommes;580;d
2012;7;2012-02-12;2012-02-15;2012-02-18;Femmes;606;d
2012;8;2012-02-19;2012-02-22;2012-02-25;Total;1213;d
2012;8;2012-02-19;2012-02-22;2012-02-25;Hommes;592;d
2012;8;2012-02-19;2012-02-22;2012-02-25;Femmes;621;d
2012;9;2012-02-26;2012-02-29;2012-03-03;Total;1245;d
2012;9;2012-02-26;2012-02-29;2012-03-03;Hommes;644;d
2012;9;2012-02-26;2012-02-29;2012-03-03;Femmes;601;d
2012;10;2012-03-04;2012-03-07;2012-03-10;Total;1234;d
2012;10;2012-03-04;2012-03-07;2012-03-10;Hommes;603;d
2012;10;2012-03-04;2012-03-07;2012-03-10;Femmes;631;d
2012;11;2012-03-11;2012-03-14;2012-03-17;Total;1237;d
2012;11;2012-03-11;2012-03-14;2012-03-17;Hommes;573;d
2012;11;2012-03-11;2012-03-14;2012-03-17;Femmes;664;d
2012;12;2012-03-18;2012-03-21;2012-03-24;Total;1239;d
2012;12;2012-03-18;2012-03-21;2012-03-24;Hommes;595;d
2012;12;2012-03-18;2012-03-21;2012-03-24;Femmes;644;d
2012;13;2012-03-25;2012-03-28;2012-03-31;Total;1189;d
2012;13;2012-03-25;2012-03-28;2012-03-31;Hommes;561;d
2012;13;2012-03-25;2012-03-28;2012-03-31;Femmes;628;d
2012;14;2012-04-01;2012-04-04;2012-04-07;Total;1157;d
2012;14;2012-04-01;2012-04-04;2012-04-07;Hommes;545;d
2012;14;2012-04-01;2012-04-04;2012-04-07;Femmes;612;d
2012;15;2012-04-08;2012-04-11;2012-04-14;Total;1160;d
2012;15;2012-04-08;2012-04-11;2012-04-14;Hommes;585;d
2012;15;2012-04-08;2012-04-11;2012-04-14;Femmes;575;d
2012;16;2012-04-15;2012-04-18;2012-04-21;Total;1194;d
2012;16;2012-04-15;2012-04-18;2012-04-21;Hommes;601;d
2012;16;2012-04-15;2012-04-18;2012-04-21;Femmes;593;d
2012;17;2012-04-22;2012-04-25;2012-04-28;Total;1186;d
2012;17;2012-04-22;2012-04-25;2012-04-28;Hommes;591;d
2012;17;2012-04-22;2012-04-25;2012-04-28;Femmes;595;d
2012;18;2012-04-29;2012-05-02;2012-05-05;Total;1133;d
2012;18;2012-04-29;2012-05-02;2012-05-05;Hommes;549;d
2012;18;2012-04-29;2012-05-02;2012-05-05;Femmes;584;d
2012;19;2012-05-06;2012-05-09;2012-05-12;Total;1129;d
2012;19;2012-05-06;2012-05-09;2012-05-12;Hommes;553;d
2012;19;2012-05-06;2012-05-09;2012-05-12;Femmes;576;d
2012;20;2012-05-13;2012-05-16;2012-05-19;Total;1155;d
2012;20;2012-05-13;2012-05-16;2012-05-19;Hommes;586;d
2012;20;2012-05-13;2012-05-16;2012-05-19;Femmes;569;d
2012;21;2012-05-20;2012-05-23;2012-05-26;Total;1131;d
2012;21;2012-05-20;2012-05-23;2012-05-26;Hommes;548;d
2012;21;2012-05-20;2012-05-23;2012-05-26;Femmes;583;d
2012;22;2012-05-27;2012-05-30;2012-06-02;Total;1068;d
2012;22;2012-05-27;2012-05-30;2012-06-02;Hommes;545;d
2012;22;2012-05-27;2012-05-30;2012-06-02;Femmes;523;d
2012;23;2012-06-03;2012-06-06;2012-06-09;Total;1089;d
2012;23;2012-06-03;2012-06-06;2012-06-09;Hommes;571;d
2012;23;2012-06-03;2012-06-06;2012-06-09;Femmes;518;d
2012;24;2012-06-10;2012-06-13;2012-06-16;Total;1057;d
2012;24;2012-06-10;2012-06-13;2012-06-16;Hommes;533;d
2012;24;2012-06-10;2012-06-13;2012-06-16;Femmes;524;d
2012;25;2012-06-17;2012-06-20;2012-06-23;Total;1059;d
2012;25;2012-06-17;2012-06-20;2012-06-23;Hommes;506;d
2012;25;2012-06-17;2012-06-20;2012-06-23;Femmes;553;d
2012;26;2012-06-24;2012-06-27;2012-06-30;Total;1085;d
2012;26;2012-06-24;2012-06-27;2012-06-30;Hommes;564;d
2012;26;2012-06-24;2012-06-27;2012-06-30;Femmes;521;d
2012;27;2012-07-01;2012-07-04;2012-07-07;Total;1135;d
2012;27;2012-07-01;2012-07-04;2012-07-07;Hommes;559;d
2012;27;2012-07-01;2012-07-04;2012-07-07;Femmes;576;d
2012;28;2012-07-08;2012-07-11;2012-07-14;Total;1094;d
2012;28;2012-07-08;2012-07-11;2012-07-14;Hommes;542;d
2012;28;2012-07-08;2012-07-11;2012-07-14;Femmes;552;d
2012;29;2012-07-15;2012-07-18;2012-07-21;Total;1074;d
